AYDINLI,Hazır Giyim
AYPA MARKET,Gıda Perakendesi
AYTEMİZ PETROL,FMCG Dağıtım Kanalları
Balıkesir Belediyesi Otopark İşletmeciliği,Özel Projeler
BALPARMAK,FMCG Dağıtım Kanalları
BANVİT,FMCG Dağıtım Kanalları
BARSOFT,
BAŞARI YAZILIM,
BAT TÜRKİYE,FMCG Dağıtım Kanalları
BAUHAUS,Ev & Yaşam / Yapı Market
Bayiner Elektrik,VERTİCAL
Baylan,Özel Projeler
BBH YAZILIM,
BBM PERAKENDE (BOLDY),Gıda Perakendesi
Beefull,EV Charge
BEIERSDORF (NIVEA),FMCG Dağıtım Kanalları
Beije,
BELBİM,VERTİCAL
BELLA MAISON,Hazır Giyim
BELLONA,Ev & Yaşam / Yapı Market
Beltur / İBB,
BENETTON,Hazır Giyim
BEREKET DÖNER,Yeme-İçme
BEŞLER SUCUK,FMCG Dağıtım Kanalları
BEYAZ EŞYA VE ELEKTRONİK BAKIM EKİPLERİ,FMCG Dağıtım Kanalları
BEYLERBEYİ,FMCG Dağıtım Kanalları
BEYMEN,Hazır Giyim
BG STORE,Hazır Giyim
BHT CLINIC & TEMA HASTANESİ,FMCG Dağıtım Kanalları
BİÇEN MARKET,Gıda Perakendesi
Bilecik Belediyesi,Ulaşım & Belediye
BİLGİ AŞ. (AVION),
BİLMED,FMCG Dağıtım Kanalları
BİLNEX YAZILIM,
BİM-FİLE,Gıda Perakendesi
BinBin Scooter (in-house),
Birikim Bilgisayar,
BİRİKİM BİLGİSİYAR,
BİRİNCİ SAĞLIK,FMCG Dağıtım Kanalları
BIRKENSTOCK,Hazır Giyim
BİSSE,Hazır Giyim
BİZİM TOPTAN,Gıda Perakendesi
BJK,Hazır Giyim
BLADECO,VERTİCAL
BLUEMİNT,Hazır Giyim
Bob Otopark,Otopark
BONVENO,Gıda Perakendesi
Borusan,EV Charge
BOSCH/SIEMENS,FMCG Dağıtım Kanalları
BOYNER,Hazır Giyim
Bravo Otomat,
BRISA,FMCG Dağıtım Kanalları
BROOKS BROTHER,Hazır Giyim
BROWN - FORMAN,FMCG Dağıtım Kanalları
BTA,
BT Days / Posera,Özel Projeler
BÜLENT BÖREKÇİLİK,Gıda Perakendesi
BUNGE,FMCG Dağıtım Kanalları
BURDA BEBEK,FMCG Dağıtım Kanalları
BURULAS,VERTİCAL
Burulaş,Ulaşım & Belediye
ÇAĞDAŞ MARKETLER,Gıda Perakendesi
ÇAĞRI MARKET,Gıda Perakendesi
CAJUN CORNER,Gıda Perakendesi
ÇAK TEKSTİL LTB,Hazır Giyim
ÇAMLICA BARKOD,
CARREFOUR,Gıda Perakendesi
ÇAYKUR,FMCG Dağıtım Kanalları
ÇEÇEN GIDA,Gıda Perakendesi
ÇETİNKAYA,Hazır Giyim
Çevre Şehircilik Bakanlığı,Özel Projeler
CHAKRA,Ev & Yaşam / Yapı Market
CHANEL,Hazır Giyim
ÇİÇEK RETAIL GROUP,Hazır Giyim
ÇİFT GEYİK KARACA,Hazır Giyim
CİVİL,Hazır Giyim
COCA COLA,FMCG Dağıtım Kanalları
Coffevar,
COFFEWAR,VERTİCAL
COLINS,Hazır Giyim
COLUMBİA,Hazır Giyim
COOKSHOP,Gıda Perakendesi
Corendon Airlines,VERTİCAL
COŞKUN ET,FMCG Dağıtım Kanalları
COSMO LAB,
Cosmos Park,Otopark
DAGİ,Hazır Giyim
DAMAT,Hazır Giyim
DANONE,FMCG Dağıtım Kanalları
DANONE TİKVEŞLİ,FMCG Dağıtım Kanalları
DANONE WATERS,FMCG Dağıtım Kanalları
DARA YAZILIM,
DARDANEL,FMCG Dağıtım Kanalları
DASVİO,
DECATHLON,Hazır Giyim
DEFACTO,
DENİZBANK,
DENKER,
DENTGROUP CLINICS,FMCG Dağıtım Kanalları
DENTSPA,FMCG Dağıtım Kanalları
DERİMOD,Hazır Giyim
DESA,Hazır Giyim
DET Teknoloji,Otopark
DEVA İÇECEK,FMCG Dağıtım Kanalları
DHL KARGO (MNG),Lojistik & Kargo
Diana Travel,
Ditravo,
DIVARESE,Hazır Giyim
Diyanet Vakfı,Özel Projeler
DMS Tech,VERTİCAL
DOĞAN E DÖNÜŞÜM,
DOĞTAŞ,Ev & Yaşam / Yapı Market
DOĞUŞ ÇAY,FMCG Dağıtım Kanalları
Doğuş Otomat,
Doldurapp,EV Charge
DOLUCA,FMCG Dağıtım Kanalları
D&R,Ev & Yaşam / Yapı Market
D-REAM,Yeme-İçme
DUFY,Hazır Giyim
DÜNYAGÖZ,FMCG Dağıtım Kanalları
DÜZEY,FMCG Dağıtım Kanalları
Easy Park,Otopark
E-BEBEK,Hazır Giyim
ECCO,Hazır Giyim
Econ,EV Charge
ECZACIBAŞI,FMCG Dağıtım Kanalları
ECZA KOOPERATİFLERİ,FMCG Dağıtım Kanalları
EFE RAKI,FMCG Dağıtım Kanalları
EFES BELARUS,FMCG Dağıtım Kanalları
EFES PİLSEN - GÜRCİSTAN,FMCG Dağıtım Kanalları
EFES PİLSEN - MOLDOVA,FMCG Dağıtım Kanalları
E fish,EV Charge
EGESOFT BİLGİ TEKNOLOJİLERİ,FMCG Dağıtım Kanalları
E Kent,Ulaşım & Belediye
EKER,FMCG Dağıtım Kanalları
EKOL FOOD,Gıda Perakendesi
EKOL FOOD SERVICE,FMCG Dağıtım Kanalları
EKOL GİYİM,Hazır Giyim
ELARTEK,VERTİCAL
Electroop,
Elektral,
ELEKTRAL,VERTİCAL
Elektroop,EV Charge
ELEKTROOP,VERTİCAL
Elektrosoft,Otopark
ELEKTROSOFT,VERTİCAL
ELLE,Hazır Giyim
Elpo A.Ş,Özel Projeler
ELRA TEKNOLOJİ,
Elra Yazılım,Otopark
EMSE ELEKTRONİK,VERTİCAL
Emse Mühendislik,
EMSEY HOSPİTAL,FMCG Dağıtım Kanalları
ENCORE,
ENDER MAĞAZALARI,Hazır Giyim
ENGLISH HOME,Ev & Yaşam / Yapı Market
ENPOS,
ENTAŞ GIDA,FMCG Dağıtım Kanalları
En yakıt,EV Charge
ERAY ELEKTRONİK,
Eraytech,Otopark
ERDEM SAĞLIK GRUBU,FMCG Dağıtım Kanalları
EREN PERAKENDE,Hazır Giyim
ERİKLİ,FMCG Dağıtım Kanalları
ERP12,
ERSOY SAĞLIK GRUBU,FMCG Dağıtım Kanalları
ERUSLU SAĞLIK ÜRÜNLERİ,FMCG Dağıtım Kanalları
E Şarj,EV Charge
ESKİ,
Eskişehir Su Kanalizasyonu,
ESSILOR LUXOTTICA,Ev & Yaşam / Yapı Market
ESTEWORLD PLASTİK CERRAHİ SAĞLIK GRUBU,FMCG Dağıtım Kanalları
ETG Fujifilm,
ETİ,FMCG Dağıtım Kanalları
Etisan,Özel Projeler
ETİSAN,VERTİCAL
EURO BİLGİSAYAR,
EUTOBACCO (TURKTAB),FMCG Dağıtım Kanalları
EV-DİZ MOBİLYA,Ev & Yaşam / Yapı Market
EVE SHOP,Ev & Yaşam / Yapı Market
EVIDEA,Ev & Yaşam / Yapı Market
EVKUR,Ev & Yaşam / Yapı Market
EvsePOS,
Evse Teknik,EV Charge
EVSE TEKNİK,VERTİCAL
EV SHOP,Ev & Yaşam / Yapı Market
EYFEL PARFÜM,Ev & Yaşam / Yapı Market
FAİK SÖNMEZ,Hazır Giyim
FASTSELL,
Faturamatik,
FEDEX,Lojistik & Kargo
FELIXPOS (YEŞİL MAVİ BİLİŞİM ),
FENERIUM,Hazır Giyim
FİBABANKA,
FİBA RETAIL,Hazır Giyim
Fling Photo Studio,
FLO,Hazır Giyim
FLORENCE NİGHTİNGALE,FMCG Dağıtım Kanalları
FLORMAR,FMCG Dağıtım Kanalları
FONET BİLGİ TEKNOLOJİLERİ,FMCG Dağıtım Kanalları
Foto Kabin,VERTİCAL
FSM,VERTİCAL
FSM TIP MERKEZİ,FMCG Dağıtım Kanalları
FUJIFILM TEKNOLOJİ,FMCG Dağıtım Kanalları
GALATASARAY MAĞAZACILIK,Hazır Giyim
GARANTİ BBVA,
GAZİOSMANPAŞA ÜNİVERSİTESİ HASTANESİ,FMCG Dağıtım Kanalları
GELECEK MOBİL YAZILIM,
GENRESMAN,
GETİR,FMCG Dağıtım Kanalları
GİLTAŞ,
GİMSA,Gıda Perakendesi
GİOV,EV Charge
GİZİA,Hazır Giyim
GİZSOFT,
GOLDEN ROSE,Ev & Yaşam / Yapı Market
GÖZ GRUP,Ev & Yaşam / Yapı Market
GRATİS,Ev & Yaşam / Yapı Market
GREYDER,Hazır Giyim
GROSERİ,Gıda Perakendesi
GROSPER,Gıda Perakendesi
GSK,FMCG Dağıtım Kanalları
GUSTO,Hazır Giyim
GÜVEN YAZILIM,
HACI EROL YAZILIM,
HAKMAR,Gıda Perakendesi
HALKBANK,
HALKTAN KURUYEMİŞ,Yeme-İçme
Hane Otomat,
HAPPY CENTER,Gıda Perakendesi
HARIBO,FMCG Dağıtım Kanalları
HATEMOĞLU,Hazır Giyim
Havaist,Ulaşım & Belediye
HAVA İST,VERTİCAL
Havaş,Ulaşım & Belediye
HAYAT KİMYA,FMCG Dağıtım Kanalları
HEMINGTON,Hazır Giyim
HENKEL,FMCG Dağıtım Kanalları
HEPSİ JET,FMCG Dağıtım Kanalları
HEPSİJET,Lojistik & Kargo
HİSAR HOSPİTAL,FMCG Dağıtım Kanalları
HİŞİM,Hazır Giyim
HORECA İÇECEK GIDA DAĞITIM (EDREMİT),FMCG Dağıtım Kanalları
HORECA TRADE (İSTANBUL),FMCG Dağıtım Kanalları
HOROZ LOJİSTİK,Lojistik & Kargo
HOSPITADENT,FMCG Dağıtım Kanalları
HOSPİTADENT,FMCG Dağıtım Kanalları
HUMMEL,Hazır Giyim
IKEA,Ev & Yaşam / Yapı Market
IMPERIAL TOBACCO,FMCG Dağıtım Kanalları
İMZA,Hazır Giyim
İNCİ DERİ,Ev & Yaşam / Yapı Market
INDEPENDENT ADVISORY,FMCG Dağıtım Kanalları
İntegra Bilişim,Otopark
Integra Sistem (7A Bilişim),
İntercard Turkey,Eğlence & Oyun
İPEKYOL,Hazır Giyim
İRMET HOSPİTAL,FMCG Dağıtım Kanalları
İRMET HOSPİTAL,FMCG Dağıtım Kanalları
İŞBANK,
İSPARK,Otopark
İSTİKBAL,Ev & Yaşam / Yapı Market
İTİMAT,Gıda Perakendesi
İWALLET,FMCG Dağıtım Kanalları
İZMAR,Gıda Perakendesi
İZMİR B.B.OTOPARK İŞLETMECİLİĞİ,
İzmir Belediye Otopark İşletmeciliği,Otopark
İzmir Teknoloji,Ulaşım & Belediye
İZMİR TEKNOLOJİ,VERTİCAL
JACK & JONES,Hazır Giyim
JOKER,Hazır Giyim
Jomsan,Eğlence & Oyun
JOMSAN,VERTİCAL
JTI,FMCG Dağıtım Kanalları
KAFFEE SCHÜTZ,Yeme-İçme
KAHVE DÜNYASI,Yeme-İçme
KALEM YAZILIM,
Kalyon,
Kaner Group (in-house),
KARACA ZÜCCACİYE,Ev & Yaşam / Yapı Market
Kara Vending,
KARMED/KARDELEN YAZILIM,
KAVAKLIDERE,FMCG Dağıtım Kanalları
Kavrak Otomat,VERTİCAL
KAYA ÇİFTLİĞİ,Gıda Perakendesi
KAYA ÇİFTLİĞİ,Gıda Perakendesi
KAYRA,FMCG Dağıtım Kanalları
KAYRA (SARAH KONFEKSİYON),Hazır Giyim
Kayseri Belediyesi Otopark İşletmeciliği,Otopark
KEBİR SÜT,FMCG Dağıtım Kanalları
Kent Kart,Ulaşım & Belediye
KENT KART,VERTİCAL
KENT (MONDELEZ),FMCG Dağıtım Kanalları
KESKİNOĞLU,FMCG Dağıtım Kanalları
KİĞILI,Hazır Giyim
KİM MARKET,Gıda Perakendesi
Kiosk Pano,
KNITSS,Hazır Giyim
KOBİJET,
KOÇTAŞ,Ev & Yaşam / Yapı Market
KOÇ ÜNİVERSİTE HASTANESİ,FMCG Dağıtım Kanalları
KOÇ ÜNİVERSİTE HASTANESİ,FMCG Dağıtım Kanalları
KOLAN HOSPİTAL,FMCG Dağıtım Kanalları
KOLAY GELSİN,Lojistik & Kargo
KOMPEDAN,Hazır Giyim
KOTON,Hazır Giyim
KOZA GIDA (KOZA GOURMET),FMCG Dağıtım Kanalları
KÜRESEL TEDARİK (ANELE),FMCG Dağıtım Kanalları
KÜRESEL TEDARIK ZİNCİRİ,FMCG Dağıtım Kanalları
KUVEYT TÜRK,
LA LORRAINE,FMCG Dağıtım Kanalları
LCW,Hazır Giyim
LEE COOPER,Hazır Giyim
LES BENJAMİN,Hazır Giyim
LESCON,Hazır Giyim
LEVİ'S,Hazır Giyim
LEZİTA,FMCG Dağıtım Kanalları
LILA KAĞIT,FMCG Dağıtım Kanalları
LİV HOSPİTAL,FMCG Dağıtım Kanalları
L'OCCİTANE,Ev & Yaşam / Yapı Market
LOGO,
LOKMAN HEKİM HASTANESİ,FMCG Dağıtım Kanalları
LOREAL (ECZANE KANALI),FMCG Dağıtım Kanalları
LOREAL (KUAFÖR KANALI),FMCG Dağıtım Kanalları
LOREAL (TÜKETICI KANALI),FMCG Dağıtım Kanalları
LOYA,Hazır Giyim
LUFİAN,Hazır Giyim
Lumicle,EV Charge
Macellan,Eğlence & Oyun
Macellan,VERTİCAL
macro tr,
Macro TR,Otopark
MADAME COCO,Ev & Yaşam / Yapı Market
MAD PARFUM,FMCG Dağıtım Kanalları
Magic World,Eğlence & Oyun
Magmavend,
MAKBUL KURUYEMİŞ,Yeme-İçme
MANGO,Hazır Giyim
MARKA MEŞRUBAT,VERTİCAL
MARKAPARK,Hazır Giyim
MARS GıDA,FMCG Dağıtım Kanalları
MARSHALL,FMCG Dağıtım Kanalları
Matik Otomat,
MAVİ JEANS,Hazır Giyim
MAYADENT,FMCG Dağıtım Kanalları
MEDIA MARKT,Elektronik & Beyaz Eşya
Medical Park,Özel Projeler
MedicalPark,VERTİCAL
MEDİCALPARK,VERTİCAL
MEDİCANA,FMCG Dağıtım Kanalları
MEDİPOL,FMCG Dağıtım Kanalları
MEDISTATE,FMCG Dağıtım Kanalları
MEMORİAL,FMCG Dağıtım Kanalları
MENUBU,
MENUFY,
Menulux,
Mergen Yazılım,
Metcom,Özel Projeler
METİS YAZILIM,
METRO MARKET,Gıda Perakendesi
MEY - DIAGEO,FMCG Dağıtım Kanalları
MİA TEKNOLOJİ,FMCG Dağıtım Kanalları
MICROSOFT D365,
Microsoft Dynamics,
MİGROS,Gıda Perakendesi
MİKRO YAZILIM (ZİRVE),
MİLLİ SARAYLAR,VERTİCAL
MISSHA,Ev & Yaşam / Yapı Market
Missha Kozmetik,
Mitrapod,EV Charge
MLPCare,
MOBİLE ITM,
MONDELEZ,FMCG Dağıtım Kanalları
MONDİ,Ev & Yaşam / Yapı Market
MOPAŞ,Gıda Perakendesi
MR. DIY,Ev & Yaşam / Yapı Market
M&S - GAP,Hazır Giyim
MUDO,Hazır Giyim
MULTİNET,Yeme-İçme
NAHİTA,VERTİCAL
NAMET,FMCG Dağıtım Kanalları
NEBİM,
Neftgen,
NESTLE,FMCG Dağıtım Kanalları
Nestlee,
NESTLE - PROFESSIONAL,FMCG Dağıtım Kanalları
NESTLE - RETAIL,FMCG Dağıtım Kanalları
NESTLE WATERS,FMCG Dağıtım Kanalları
NETLOG KÜRESEL PAZ.,FMCG Dağıtım Kanalları
NEWAL,FMCG Dağıtım Kanalları
NEXİVOX YAZILIM,
NIKE SPORTINN,Hazır Giyim
Nivo Otomat,
NOCTURNE,Hazır Giyim
NOVEM YAZILIM,
NP İSTANBUL HASTANESİ,FMCG Dağıtım Kanalları
NTTData,
NUREDERM KOZMETİK,FMCG Dağıtım Kanalları
Obinova Teknoloji,
ÖDEAL,
ÖDEAL,
OKYANUS,VERTİCAL
Okyanus Koleji,Özel Projeler
OLİV ESTETİK,FMCG Dağıtım Kanalları
OMNİPOS YAZILIM,
Oncharge,EV Charge
ONUR HİPERMARKETLERİ,Gıda Perakendesi
ONUR MARKET,Gıda Perakendesi
OPMAR OPTİK,Ev & Yaşam / Yapı Market
OPTİMED HOSPİTAL,FMCG Dağıtım Kanalları
ÖRNEK MARKET,Gıda Perakendesi
Otojet,EV Charge
Otomat 360,
Otoprizz,EV Charge
Ovolt,EV Charge
OVOLT,VERTİCAL
Oxivo Group,
OXXO,Hazır Giyim
ÖZBEREKET GIDA,Gıda Perakendesi
ÖZDİLEK,Gıda Perakendesi
ÖZEL PENDİK BÖLGE HASTANESİ,FMCG Dağıtım Kanalları
ÖZEL SANCAKTEPE BÖLGE HASTANESİ,FMCG Dağıtım Kanalları
ÖZGÖRKEY,FMCG Dağıtım Kanalları
ÖZHAN MARKET,Gıda Perakendesi
ÖZKURUŞLAR,Gıda Perakendesi
ÖZLENİR GRUP,Hazır Giyim
Pakera,Otopark
PAKET TAXI,FMCG Dağıtım Kanalları
PAKKOD,
PANÇO,Hazır Giyim
PAPOĞLU MARKET,Gıda Perakendesi
PARAM,
PARAMTECH,
PAŞABAHÇE MAĞAZALARI,Ev & Yaşam / Yapı Market
PAŞA FIRINI,Yeme-İçme
PAULMARK,Hazır Giyim
PAWCO,Ev & Yaşam / Yapı Market
Paymore,
PAYSER,
Pegasus,
PEHLİVANOĞLU,Gıda Perakendesi
Pem Enerji,
PENTİ,Hazır Giyim
PEPSİ,FMCG Dağıtım Kanalları
PERNOD RICARD,FMCG Dağıtım Kanalları
PEYNİRCİ BABA,Gıda Perakendesi
PHILIP MORRIS/SABANCI (PHILSA - PHILMAR),FMCG Dağıtım Kanalları
Phoenix,
Platforta,
Politeknik,
POLİTEKNİK,VERTİCAL
POSBACK,
PRESTİJ BİLGİ SİSTEMLERİ,FMCG Dağıtım Kanalları
PROCTER & GAMBLE,FMCG Dağıtım Kanalları
Promax,Özel Projeler
PROTEL,Yeme-İçme
PSL - GALLERY CRYSTAL,Ev & Yaşam / Yapı Market
PTT KARGO,Lojistik & Kargo
PUMA,Hazır Giyim
PUSULA YAZILIM,FMCG Dağıtım Kanalları
QNB,
QUAVİS,VERTİCAL
RAMSEY,Hazır Giyim
Raquun,EV Charge
REAL HİPERMARKETLER,Gıda Perakendesi
REDBULL,FMCG Dağıtım Kanalları
REEDER,Elektronik & Beyaz Eşya
RF SOLUTION,
ROBİTECHNO,VERTİCAL
Robopine,Ulaşım & Belediye
ROBOTPOS,
ROMAN,Hazır Giyim
Romsis,Özel Projeler
ROMSİS,VERTİCAL
ROSSMANN,Ev & Yaşam / Yapı Market
Rotawatt,
ROYAL CANIN,FMCG Dağıtım Kanalları
RPS Otomasyon,
RPS Turkey,Özel Projeler
SAAT &  SAAT,Ev & Yaşam / Yapı Market
Sacoa Turkey,
ŞAHİN SUCUKLARI,FMCG Dağıtım Kanalları
SANIPAK (ECZACIBAŞI),FMCG Dağıtım Kanalları
SARDUNYA,Gıda Perakendesi
Şarjpark,EV Charge
Şarköy Belediyesi,VERTİCAL
SATEM GRUP (OYAK),FMCG Dağıtım Kanalları
SCHAFER,Ev & Yaşam / Yapı Market
Sekom Otopark,Otopark
SELÇUK ECZA DEPOSU,FMCG Dağıtım Kanalları
SENDEO,Lojistik & Kargo
ŞEN PILIÇ,FMCG Dağıtım Kanalları
SEPHORA,Ev & Yaşam / Yapı Market
SERİM,VERTİCAL
SERİPOS,
Ses Vending,
SEVİLEN,FMCG Dağıtım Kanalları
SEVİL PARFÜMERİ,FMCG Dağıtım Kanalları
SEYHANLAR MARKET,Gıda Perakendesi
SHOWMAR HİPERMARKETLERİ,Gıda Perakendesi
Siber Teknoloji,
SİNERJİ BİLİŞİM,FMCG Dağıtım Kanalları
SKECHERS,Hazır Giyim
SNEAKS UP,Hazır Giyim
SNOWY ULYU KARDEŞLER,Gıda Perakendesi
SO CHIC,Ev & Yaşam / Yapı Market
ŞOK,Gıda Perakendesi
ŞÖLEN,FMCG Dağıtım Kanalları
ŞÖLEN IRAK,FMCG Dağıtım Kanalları
SPORTIVE,Hazır Giyim
SPX,Hazır Giyim
STARBUCKS,Yeme-İçme
Suffatech,
Sun express,
SÜRAT KARGO,Lojistik & Kargo
SÜTAŞ,FMCG Dağıtım Kanalları
SÜVARİ,Hazır Giyim
SUWEN,Hazır Giyim
TAÇ,Ev & Yaşam / Yapı Market
TADIM,FMCG Dağıtım Kanalları
Taha Teknik,
TaksidePOS,
TALİPSAN,Hazır Giyim
TARIM KREDİ MARKETLERİ,Gıda Perakendesi
TATLIBAK,Gıda Perakendesi
TAZE PAZAR,Gıda Perakendesi
TCDD,Ulaşım & Belediye
TCDD,VERTİCAL
TCHIBO,FMCG Dağıtım Kanalları
TDV,
TECHLİFE,VERTİCAL
Technolife,Otopark
TechoPark,
TEDİ DISCOUNT TEKSTİL MAĞAZACILIK A.Ş.,Ev & Yaşam / Yapı Market
TEKNONET,
TEKNOSA,Elektronik & Beyaz Eşya
TEKZEN,Ev & Yaşam / Yapı Market
TEMA HASTANESİ,FMCG Dağıtım Kanalları
Tepe Bİlişim,
TEPEPOS,
TERA YAZILIM,
TERGAN,Hazır Giyim
TESPO,Gıda Perakendesi
THE PUREST SOLUTIONS,Ev & Yaşam / Yapı Market
TIKVEŞLI,FMCG Dağıtım Kanalları
Tora şarj,EV Charge
TORA TEKNİK,VERTİCAL
TOSHIBA (POS AŞ),
Tostmatik,
TOTAL,FMCG Dağıtım Kanalları
TOYPA,Ev & Yaşam / Yapı Market
TRABZONSPOR MAĞAZACILIK,Hazır Giyim
TRENDYOLGO,FMCG Dağıtım Kanalları
Trugo,EV Charge
TUDORS,Hazır Giyim
TUĞBA KURUYEMİŞ,Gıda Perakendesi
Tunçmatik,EV Charge
Turcomech,EV Charge
TURKCELL,Elektronik & Beyaz Eşya
Turkeli Otomat,
Turkonay,
TÜRK TUBORG,FMCG Dağıtım Kanalları
TURKUAZ,FMCG Dağıtım Kanalları
TURKUAZ YAZILIM,
Turyol,Ulaşım & Belediye
TWIGY,Hazır Giyim
UKİ,Hazır Giyim
ÜLKER,FMCG Dağıtım Kanalları
ÜLKER DİSTRİBÜTÖRLERİ,FMCG Dağıtım Kanalları
ULUDAĞ DUBAİ,FMCG Dağıtım Kanalları
ULUDAĞ İÇECEK,FMCG Dağıtım Kanalları
UNIFREE DUTY FREE,FMCG Dağıtım Kanalları
Unilever,
UNILEVER,FMCG Dağıtım Kanalları
Unisoft,VERTİCAL
UNİVERA,
Uzunlar Otomat,VERTİCAL
VakıfPayS,
VAKKO,Hazır Giyim
VANS,Hazır Giyim
VASCOMM BİLİŞİM,VERTİCAL
Vascoom,
VATAN BİLGİSAYAR,Elektronik & Beyaz Eşya
VEGA YAZILIM,
Velmor,
VENI VIDI GÖZ,FMCG Dağıtım Kanalları
VERİMSOFT,
Visa,Özel Projeler
Voltgo,EV Charge
Voltrun,EV Charge
VOS VERSA,
WAT,EV Charge
Wat Mobilite (Koç),
WATSONS,Ev & Yaşam / Yapı Market
WEITNAUER,FMCG Dağıtım Kanalları
YAPI KREDİ,
YARGICI,Hazır Giyim
YAŞAM HASTANESİ,FMCG Dağıtım Kanalları
YEDİTEPE ÜNİVERSİTE HASTANESİ,FMCG Dağıtım Kanalları
YEMEKHANE,Gıda Perakendesi
YEMEKSEPETİ KURYE,FMCG Dağıtım Kanalları
YURTİÇİ KARGO,Lojistik & Kargo
YVES ROCHER,FMCG Dağıtım Kanalları
Zeplin,EV Charge
ZES,EV Charge
ZSA ZSA ZSU,Ev & Yaşam / Yapı Market
ZÜBER,FMCG Dağıtım Kanalları
